Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DesktopAndWebApplicationSuite,Chrome 102.0.5005.63,,,2022-06-06 17:48:41,2022-06-06 17:53:49,5m - 7.614s,FAILED
,,,,,,,
Test Cases/DesktopAndWebApplication/Orderdesktopapp,Chrome 102.0.5005.63,,,2022-06-06 17:48:51,2022-06-06 17:48:53,2.085s,FAILED
"startApplicationWithTitle(""C:\Users\AjayBezawada\Documents\UiPath\Desktop_OrderScenarios_Library\.settings\APK File\Orders.exe"", ""Orders"")",Chrome 102.0.5005.63,,,2022-06-06 17:48:51,2022-06-06 17:48:53,2.068s,FAILED
,,,,,,,
Test Cases/DesktopAndWebApplication/Amazonwebtc,Chrome 102.0.5005.63,,,2022-06-06 17:51:11,2022-06-06 17:53:27,2m - 15.614s,PASSED
"openBrowser("""")",Chrome 102.0.5005.63,,,2022-06-06 17:51:11,2022-06-06 17:51:15,3.123s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 102.0.5005.63,,,2022-06-06 17:51:15,2022-06-06 17:51:19,4.441s,PASSED
maximizeWindow(),Chrome 102.0.5005.63,,,2022-06-06 17:51:19,2022-06-06 17:51:19,0.243s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon.com. Spend less. Smile more/a_Hello, Sign in  Account  Lists""))",Chrome 102.0.5005.63,,,2022-06-06 17:51:19,2022-06-06 17:51:22,2.232s,PASSED
"setText(findTestObject(""Object Repository/Page_Amazon Sign-In/input_Email or mobile phone number_email""), Username)",Chrome 102.0.5005.63,,,2022-06-06 17:51:22,2022-06-06 17:51:23,1.496s,PASSED
"verifyMatch(Username, Username, false)",Chrome 102.0.5005.63,,,2022-06-06 17:51:23,2022-06-06 17:51:23,0.002s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon Sign-In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 102.0.5005.63,,,2022-06-06 17:51:23,2022-06-06 17:51:25,1.792s,PASSED
